Response ID,Date submitted,Last page,Start language,Seed,Please write your ideas in the followinng format (one idea for each line)  Please do not forget to put the numbers before each idea as the example above 1) first dea 2) second idea ... n) nth idea,DTT_SCORE-fluency,DTT_SCORE-fluencyAll-ideas Creativity Rating (1-9),Judge's Top 3 ideas ,DTT_SCOREJudge's_Top_3 Ideas,Top 3 ideas participants 1,Top 3 ideas participants 2,Top 3 ideas participants 3,DTT_SCOREJudge's Rating of participantchosing top 3 ideas ,Comments 
43,,2,fr,919028655,,,,,,,,,,
44,,8,fr,119103778,,,,,,,,,,
45,1980-01-01 00:00:00,14,fr,110460177,"1)  jouer au foot
2)  mettre des crayons
3)  faire des percussions",3,2,1)  jouer au foot 2)  mettre des crayons  3)  faire des percussions,2,1) jouer au foot,2) mettre des crayons,3) faire des percussions,2,
46,,8,fr,724234636,Tirelire vase boîte à bijoux vide poche,4,4,1)Tirelire 2)Vide poche 3) Boire à bijoux,3,Tirelire,Vide poche,Vase,3,
47,,13,en,661955607,"1) vases
2) glasses
3) flower stands 
4) paint holders 
5) pencil holders
6) decorated paper holders
7) cord phones 
8) stirling engines 
9) homemade bowling rolls
10) homemade bowling pins 
11) mini golf holes
12) party decoration (all hanged from the same rope)
13) improvised speaker for the phone
14) salt container",14,9,1) homemade bowling pins  2) mini golf holes  3 party decorations ,7,8) stirling engines ,13) improvised speaker for the phone,Mini golf holes ,6,
48,,0,en,1505343599,,,,,,,,,,
49,,2,en,680315551,,,,,,,,,,
50,1980-01-01 00:00:00,14,fr,1900360730,"1) des maracas
2) des pots pour mettre des crayons, des stylos
3) un endroit où poser ses clefs
4) des pots de plantes
5) un jeu pour construire une pyramide et pour lancer des balles
6) des jeux : des avions ou des voitures reconstituées 
7) des vases
8) des récipients d'eau potable
9) des décorations",9,7,1) jouet: avions ou trains 2) un jeu pour construire une pyramide et pour lancer des balles  3)decoration,6,6) des jeux : des avions ou des voitures reconstituées,5) un jeu pour construire une pyramide et pour lancer des balles,1) des maracas,7,
51,,2,en,13329472,,,,,,,,,,
52,1980-01-01 00:00:00,14,fr,1598505692,"Maison
Lit 
Chaise
fauteuil 
Magasin
Vêtements
Recyclage urbain
Voiture
Clôture
Tableau
Boîte à musique
Instrument
Lampe
Bijoux",14,5,1) tableau 2) lampe 3) bijoux ,5,boite à musqiue,tableau,Bijoux,5,
53,,,fr,1115120126,,,,,,,,,,
54,,,en,1545809704,,,,,,,,,,
55,1980-01-01 00:00:00,14,fr,25950960,"1) recipient 
2) pot de crayon
3) un photophore
4) des jouets avec la tôle 
5) des serre-livres
6) une cloche
7) un piège à insectes
8) une œuvre d’art
9) un vase 
10) quelque chose qui fait plein de bruit",10,7,1) œuvre d'art  2) une cloche  3)photophore ,6,quelque chose qui fait plein de bruit,une cloche,une œuvre d’art,5,
56,,13,en,431148023,"1) candle holder 
2) music instrument 
3) food recipient 
4) plant vase
5) toy
6) football
7) object to scratch 
8) liquid vase",8,6,1) candle holder 2) music instrument 3)plant vase,5,Plant vase ,toy,object to stratch ,4,
57,,1,en,478907788,,,,,,,,,,
58,,2,en,47629078,,,,,,,,,,
59,1980-01-01 00:00:00,14,fr,1097573435,"1) Instruments de musique
2) Jouets
3) Echasses
3) Jeux de massacre
4) Récipients alimentaires
5) Pots de fournitures de bureaux
6) Cendriers
7) Photophores
8) Lampions
9) Pots pour les plantes
10) Récipients à eau potable
11) Poubelles
12) Bracelets
13) Pots de peinture
14) Pots pour nettoyer les pinceaux
15)",14,8,1)Echasse  2) Lampion  3)Bracelet ,5,Cendriers,Echasses,Lampions,5,
60,1980-01-01 00:00:00,14,en,544831512,"1. Toys 
2. Art work
3. Clothes 
3. Glass 
4. Candle holder
5. Pencil holder 
6. Bag made out of many cans attached 
7. Flower pot 
8. Material to make recycled jewelry",8,6,1) Art work  2)Bag  3)Jewelery ,6,Toys,Material to make recycled jewelry,Art work,5,
61,1980-01-01 00:00:00,14,en,869507510,"1 water the garden
2 mix colors in the studio
3 cut apart, flatten and use for montage.  Encase wooden objects in these free metal drawings and prints
4 storing srews and nails
5 Using strings, walk on them as stilts
6 joint two with strings and use for primitive telephone 
7 rusty ones for vases of wild flowers
8 shim
9",8,8,"1)cut apart, flatten and use for montage.  Encase wooden objects in these free metal drawings and prints 2)Using strings, walk on them as stilts  3)joint two with strings and use for primitive telephone ",7,"Use in art projects, cutting out images, flattening them and nailing or gluing to a frame or wooden form","Mix colors in them, but frankly, I prefer plastic as they don't rust and generally come with tight fitting lids",Storing nails and screws,7,
62,1980-01-01 00:00:00,14,en,678844043,"1. flower pot
2. light fixture
3. reuse it, put liquids in it
4. a rolling pin
5. pencil holder
6. cup
7. poke holes= night light with stars
8. poke holes= strainer
9. watering can
10. storage 
11. make art out of it
12.crush them and use as wall paper",12,7,1)crush them and use as wall paper  2) make art out of it 3)light fixture,7,make art out of it,flower pot,poke holes= night light with stars,7,
63,1980-01-01 00:00:00,14,en,1075198777,"1) table 
2) flower bottle 
3) matera 
4) ash tray
5) jar put pencils 
6) Painting
7) rodillo",7,5,1) table 2)rodillo 3)Painting,5,flower bottle ,matera ,ash tray ,4,
